cty,sc,yr,wht,rce,crl_mze_str,sgr,swt_stm_alc,pls_nut_ocr_spc,vol,vgt,frt,cmt_rmt_omt,pmt,omt,mlk_dai_egg
AUS,SSP1,2015,0.141,-0.081,-0.181,0.222,0.075,0.036,0.104,0.463,0.342,0.033,0.585,0.033,0.106
AUS,SSP1,2050,0.135,-0.092,-0.187,0.19,0.074,0.036,0.101,0.406,0.31,-0.005,0.55,-0.005,0.102
AUS,SSP1,2100,0.129,-0.103,-0.192,0.165,0.072,0.035,0.098,0.363,0.285,-0.043,0.515,-0.043,0.099
AUS,SSP2,2015,0.141,-0.081,-0.181,0.222,0.075,0.036,0.104,0.463,0.342,0.033,0.585,0.033,0.106
AUS,SSP2,2050,0.136,-0.09,-0.186,0.194,0.074,0.036,0.101,0.413,0.314,0.001,0.555,0.001,0.103
AUS,SSP2,2100,0.13,-0.1,-0.191,0.168,0.072,0.036,0.099,0.373,0.291,-0.033,0.524,-0.033,0.1
AUS,SSP3,2015,0.141,-0.081,-0.181,0.222,0.075,0.036,0.104,0.463,0.342,0.033,0.585,0.033,0.106
AUS,SSP3,2050,0.137,-0.088,-0.185,0.2,0.074,0.036,0.102,0.426,0.321,0.01,0.563,0.01,0.103
AUS,SSP3,2100,0.136,-0.089,-0.186,0.188,0.074,0.036,0.102,0.418,0.317,0.005,0.559,0.005,0.103
AUS,SSP4,2015,0.141,-0.081,-0.181,0.222,0.075,0.036,0.104,0.463,0.342,0.033,0.585,0.033,0.106
AUS,SSP4,2050,0.135,-0.092,-0.187,0.198,0.074,0.036,0.101,0.405,0.31,-0.005,0.55,-0.005,0.102
AUS,SSP4,2100,0.13,-0.101,-0.191,0.179,0.072,0.036,0.098,0.37,0.289,-0.037,0.521,-0.037,0.1
AUS,SSP5,2015,0.141,-0.081,-0.181,0.222,0.075,0.036,0.104,0.463,0.342,0.033,0.585,0.033,0.106
AUS,SSP5,2050,0.134,-0.093,-0.188,0.186,0.073,0.036,0.1,0.4,0.307,-0.009,0.546,-0.009,0.102
AUS,SSP5,2100,0.125,-0.111,-0.196,0.159,0.071,0.035,0.096,0.342,0.271,-0.067,0.493,-0.067,0.097
BRA,SSP1,2015,0.189,0.079,-0.112,0.088,0.088,0.015,0.141,0.755,0.365,0.098,0.456,0.098,0.142
